connection,time,rxpower,snr,qfactor,chdispcomp,carrieroffset,differentialgroupdelay,ber
3,2368,-0.9,17.1,10.1,-5876,0.072,5,0.000658369
4,2368,-0.3,16.8,9.5,-826,0.039,10,0.001300083
5,2369,-5.3,17.4,10.3,-1266,-0.028,10,0.000532103
0,2400,-4.6,17.4,10.3,-1265,-0.013,5,0.00047264
1,2401,-0.2,17.6,10.4,-818,-0.096,7,0.000439595
2,2402,-3.7,16.8,9.9,-5889,-0.083,7,0.000815001
3,2403,-0.9,17.2,10.1,-5874,0.061,5,0.000636497
4,2403,-0.3,16.8,9.5,-823,0.062,11,0.001287642
5,2404,-5.4,17.2,10.3,-1273,0.044,10,0.000533559
0,2435,-4.6,17.5,10.3,-1265,-0.04,5,0.00044781
1,2436,-0.2,17.7,10.4,-818,-0.009,7,0.000419573
2,2437,-3.7,16.9,9.9,-5885,-0.069,7,0.000804454
3,2438,-0.9,17.2,10.1,-5870,0.045,6,0.000619437
4,2439,-0.3,16.6,9.5,-830,0.111,11,0.001375225
5,2440,-5.4,17.3,10.3,-1271,-0.049,10,0.000525942
0,2471,-4.7,17.4,10.3,-1266,-0.072,5,0.000462256
1,2471,-0.2,17.7,10.4,-817,-0.113,7,0.000413313
2,2472,-3.7,16.9,9.9,-5892,-0.082,8,0.000808761
3,2473,-0.9,17.2,10.1,-5874,0.066,3,0.00063104
4,2474,-0.3,16.8,9.5,-826,0.058,11,0.001274836
5,2475,-5.4,17.3,10.3,-1273,0.002,9,0.000506586
0,2506,-4.6,17.5,10.4,-1267,0,5,0.000466973
1,2506,-0.2,17.7,10.4,-814,-0.085,7,0.000429505
2,2507,-3.7,16.9,9.9,-5889,-0.069,6,0.000820477
3,2508,-0.9,17.1,10.2,-5871,0.125,10,0.000605345
4,2509,-0.3,16.9,9.5,-824,0.039,11,0.001356213
5,2510,-5.4,17.3,10.3,-1270,-0.037,10,0.000528132
0,2541,-4.6,17.5,10.3,-1266,-0.05,5,0.000467306
1,2541,-0.2,17.6,10.4,-814,-0.039,7,0.000415302
2,2542,-3.7,16.7,9.9,-5885,-0.072,6,0.00079944
3,2543,-0.9,17.2,10.1,-5871,0.109,7,0.000586255
4,2544,-0.3,16.9,9.5,-826,0.054,10,0.001278059
5,2545,-5.4,17.3,10.3,-1271,0.046,9,0.00052897
0,2576,-4.6,17.5,10.4,-1266,-0.024,5,0.000457755
1,2577,-0.2,17.6,10.4,-816,-0.029,7,0.000421802
2,2578,-3.7,16.8,9.9,-5889,-0.057,6,0.000777603
3,2579,-0.9,17.2,10.1,-5871,0.094,8,0.000607423
4,2580,-0.3,16.7,9.5,-826,0.125,10,0.001265041
